Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Internship Opportunities at World Vision Kenya,World Vision Kenya,"MAJOR RESPONSIBILITIES
Information Management and Data Administration
Contribute to the definition of information requirements and the development of data flows, data quality assurance & quality control, and   information management standard operating procedures and guidelines
Support with the design, development and testing of data collection forms using Esriâ€™s ArcGIS technology (i.e. Surveys) or other platforms (i.e. ODK, Kobo etc).
Consolidate humanitarian response data from 9 field offices, and coordinate the development of information products such as situation reports, maps, funding appeals, sector infographics, GIS, data visualisation, maps, official statistics and other data and information management activities.
Support the documentation of all HEA products including best practices, approaches, Real Time Learning etc
Manage HEA Box and TEAMs platforms to ensure ease of access of documents.
Maintain an updated humanitarian response register and action points running sheet. Improve data quality in the region/countries through field support, monitoring and feedback.
Work closely with humanitarian advisors and Anticipatory Action Coordinator to ensure the data is fit for the purpose.
Develop information management products such as web/desktop maps, dashboards templates, and dashboards using tools such as Power BI, Esriâ€™s ArcGIS technology and Tableau.
Support the gathering and analysis of primary and secondary data for interpretation and evidence-informed decision making and package these for use
Administrative Support
Support in preparation of key events organized by HEA e.g trainings etc
Support in capturing notes and minutes for meetings and any other as assigned.
Interdepartmental Support
Actively participate and support resource mobilisation efforts for humanitarian and disaster risk reduction interventions.
Working with HEA, Advocacy and Communications department in amplifying the voices of children and evidence-based impact through identifying potential stories and content that can be multi-purposed.
Support and coordinate with the Regional Office and FOs in development of regional blogs and opinion pieces that can be published externally (View, wvi.org) internally (Ignite).
Work closely with RAM as per request to provide any necessary support
External Engagements:
Participate in critical meetings with key stakeholders when delegated to ensure WV is well represented.
Consolidate write-ups of external meetings for internal sharing.
Other Duties
Perform any other related duties as required.
Attend and participate in devotional meetings
KNOWLEDGE AND QUALIFICATIONS FOR THE ROLE
Required Professional Experience
Graduates with an interest in Disaster Management and passionate about data analytics, having graduated within two years of application.
Required Education, training, license, registration, and certification
Degree in any of the following: Data Analytics/Data Science/ Statistics/ Information Management/ Statistics or a related field.
Preferred Knowledge and Qualifications
High interest and good understanding of humanitarian industry; Sphere Standards; Core Humanitarian Standards.
  go to method of application Â»",KNOWLEDGE AND QUALIFICATIONS FOR THE ROLE,,,Unclear,Required Professional Experience,Other
Ongoing Recruitment at Public Service Commission Kenya (PSCK),Public Service Commission Kenya (PSCK),"Requirements for Appointment
For appointment to this position, a candidate must:
hold a degree from a university recognized in Kenya;
have proven knowledge and experience in any of the following fields;
Finance;
Management;
Political science;
Law;
Governance; or
Public Administration;
have at least fifteen (15) years post qualification experience in the relevant areas of expertise; and
have high moral character and integrity and has satisfied the requirements of Chapter Six of the Con- stitution.
Functions of the Registrar
The functions of the Registrar of Political Parties shall be to:
register, regulate, monitor, investigate and supervise political parties to ensure compliance with the Act;
administer the Fund;
ensure publication of audited annual accounts of political parties;
verify and make publicly available the list of all members of political parties;
Keep and maintain a register of members of registered political parties;
maintain a register of political parties and the symbols of the political parties; 
ensure and verify that no person is a member of more than one political party and notify the Indepen- dent Electoral and Boundaries Commission of the findings;
certify that an independent candidate in an election is not a member of any registered political party (ix) certify that the symbol intended to be used by an independent candidate in an election does not resemble the symbol of a registered political party
certify that the names appearing in a party list are the names of members of the political party presenting the party list;
regulate political party nominations in accordance with the Political Parties Act;
train political party election agents upon the request and financing by the political party;
investigate complaints received under the Act; and
perform any such other functions as may be conferred by the Act or any other written law.
go to method of application Â»",have at least fifteen (15) years post qualification experience in the relevant areas of expertise; and,,,Unclear,have proven knowledge and experience in any of the following fields;,Social Sciences & Community
Content Moderator â€“ Swahili Speaking at Teleperformance,Teleperformance,"Description
As a Content Moderator, you will be instrumental in keeping the global digital community safe. You will be reviewing and managing content on the client platforms which at times will be of a sensitive/Egregious and/or graphic nature, and you will be trained on how to apply the client's policies, and then use these policies to uphold the established community guidelines. 
This is NOT a work from home position.
Responsibilities
Review, classify and/or eliminate content uploaded by users, according to the parameters and policies defined by the client. 
Comply with the key performance indicators defined by the specific client operation and maintain a high level of quality in each case that you review.
Make timely escalations in accordance with established procedures. 
Comply with corporate confidentiality policies and ensure the appropriate handling of customer information, to guarantee information security. 
Participate in continuous training programs established by the company for optimal development in the role. 
Comply with all instructions and procedures related and complementary to the role. 
Be attentive to the communications that arrive through the different communication channels of the company.
Requirements
Swahili - Fluent Reading and Listening of Swahili Language is critical for content moderation work.
Minimum of a Diploma in relevant field
Experience of working in a high transactional role, in a KPI driven environment.
A background in either content moderation, customer service or any other role that involves working with daily targets.
Deep familiarity with social media, internet laws, policy regulations and market knowledge
Content Moderation experience is preferred, but not essential.
Bachelor's degree is preferred, however not essential.      
Strong organizational skills and attention to detail.
Strong verbal and written communication skills in English (business fluent)
Organization sensitive and able to maneuver between various / conflicting interests.
Having the drive to realize objectives and combine various goals as a personal ambition.
Great ability of thinking outside set paths and able to produce several solutions to different situation
Being able to build strong and positive relationships in a complex international environment
Excellent problem solving, judgment and decision-making skills 
Mentally and emotionally able to handle offensive or disturbing behaviour, language, and content.
Empathic personality who can understand the feelings of others and reflect on them
Availability to work rotational shifts.",,Strong organizational skills and attention to detail.,,Unclear,"Experience of working in a high transactional role, in a KPI driven environment.",Marketing & Sales
Customer Service Representative (Nairobi Based) at Teleperformance,Teleperformance,"Responsibilities
Maintaining a positive, friendly, empathetic, and professional attitude toward customers at all times.
Responding promptly to customer inquiries via phone and through emails and chats.
Communicating with customers through various channels.
Acknowledging and resolving customer complaints.
Knowing our products inside and out to enable you respond to customer inquiries efficiently.
Keeping records of customer interactions, transactions, comments, and complaints.
Communicating and coordinating with colleagues as necessary.
Providing feedback on the efficiency of the customer service process.
Ensuring customer satisfaction and providing professional customer support.
Maintaining solid customer relationships by handling questions and concerns with speed and professionalism.
Managing database records, drafting status reports on customer service issues.
Data entry and research as required to troubleshoot customer problems.
Requirements
Minimum of 1 year experience in Customer Service
Degree/Diploma in any related field
C1 English and excellent grammar skills
Knowledge of IT programs i.e., Word, Excel, and fast fingers for typing
Great people skills
A sales-oriented approach
Proactive personality and self-motivator
Quick learner with the ability to absorb extensive information on the brand's history, product offerings and communications.
Demonstrates initiative with the ability to multi-task and detail oriented in a fast paced environment.
Outstanding written and verbal communication skills, great phone etiquette and elevated speech
Should be flexible to work in shifts both day and night.",,C1 English and excellent grammar skills,,Unclear,Minimum of 1 year experience in Customer Service,Information Technology
Customer Service Representative (Mombasa Based) at Teleperformance,Teleperformance,"Responsibilities
Maintaining a positive, friendly, empathetic, and professional attitude toward customers at all times.
Responding promptly to customer inquiries via phone and through emails and chats.
Communicating with customers through various channels.
Acknowledging and resolving customer complaints.
Knowing our products inside and out to enable you respond to customer inquiries efficiently.
Keeping records of customer interactions, transactions, comments, and complaints.
Communicating and coordinating with colleagues as necessary.
Providing feedback on the efficiency of the customer service process.
Ensuring customer satisfaction and providing professional customer support.
Maintaining solid customer relationships by handling questions and concerns with speed and professionalism.
Managing database records, drafting status reports on customer service issues.
Data entry and research as required to troubleshoot customer problems.
Requirements
Minimum of 1 year experience in Customer Service
Degree/Diploma in any related field
C1 English and excellent grammar skills
Knowledge of IT programs i.e., Word, Excel, and fast fingers for typing
Great people skills
A sales-oriented approach
Proactive personality and self-motivator
Quick learner with the ability to absorb extensive information on the brand's history, product offerings and communications.
Demonstrates initiative with the ability to multi-task and detail oriented in a fast paced environment.
Outstanding written and verbal communication skills, great phone etiquette and elevated speech
Should be flexible to work in shifts both day and night.",,C1 English and excellent grammar skills,,Unclear,Minimum of 1 year experience in Customer Service,Other
Internal Auditor at Magnate Ventures,Magnate Ventures,"Responsibilities
Develop and execute a risk-based annual Internal Audit Plan.
Formulate actionable and value-added internal audit and compliance recommendations and monitor progress of implementation of action plans.
Plan and oversee the execution of financial, regulatory, compliance and operational audits.
Conduct periodic internal reviews or audits to ensure that compliance procedures are followed and identify compliance issues that require follow-up or investigation.
Provide input into the development of the internal audit function, including policies/ procedures development, audit methodologies and support tools.
Formulate written policies and procedures related to compliance activities.
Conduct or direct the internal investigation of compliance issues.
Assess compliance or operational risks and develop risk management strategies.
File appropriate compliance reports with regulatory agencies.
Consult with the Legal Manager to address difficult legal compliance issues.
Evaluate the economy and efficiency with which the organizationâ€™s resources are employed.
Assess the operational effectiveness of the design and functioning of controls across the organizationâ€™s processes and advice on best practice regarding the internal controls and governance processes.
Drive the companyâ€™s risk management strategy and processes and liaise across functions to embed a proactive approach in identification of risks across the company.
Liaise with the companyâ€™s external auditors on internal controls and related issues, to strengthen the companyâ€™s governance and control environment.
Prepare periodic internal audit and compliance management reports as required, which includes preparing audit statistics.
Requirements
Minimum 5 yearsâ€™ experience with a professional external audit firm or internal audit in a commercial organization, with at least the last 2 years having interacted and reported to
senior management.
Proven track record with internal/ external audit environment evidencing strong performance in conducting high quality audit work, findings and reports.
Keen analytical and investigative skills.
Ability to inquire and understand issues quickly and constructively challenge the status quo.
Demonstrate integrity within a dynamic environment.
Ability to maintain independence and confidentiality.
Business/Financial Acumen, Business Savvy, Innovative.
Analytical skills and solution-focus.
Strong written and verbal communication skills.
Effective interaction with all levels of management.
Bachelorâ€™s degree in Commerce, Business or Finance related field.
Qualified accountant (CPA, ACCA or CIMA).",,Keen analytical and investigative skills.,,Unclear,"Minimum 5 yearsâ€™ experience with a professional external audit firm or internal audit in a commercial organization, with at least the last 2 years having interacted and reported to",Finance & Accounting
Driver for Van at Premier Audio Visual Limited,Premier Audio Visual Limited,"We are seeking a skilled and responsible Driver to join our company's logistics team .you will be involved in delivery of  items to our clients  and also doing related activities. You will be ensuring the safe and efficient transportation of personnel and to actively participate in related activities including loading, unloading ,installations and related works. If you have a proven track record in safe driving, attention to detail, and a commitment to delivering excellent service, we encourage you to apply and become a part of our team.
Responsibilities
Driving van and delivering audio video products to customers.
Identifying new opportunities and clients.
loading, unloading and setting up of Public address equipment as needed ensuring their safe handling and secure storage.
Maintain cleanliness and orderliness of company vehicles.
Ensure that all required vehicle documents, such as licenses, insurance, and registration, are up to date and valid.
Perform vehicle inspections and basic maintenance, reporting any issues promptly.
maintain a high level of customer service and professionalism when interacting with clients and colleagues
Update and maintain office policies and procedures
acting as a standby technician on need basis
travelling and working for long hours and during weekends
Qualifications and Experience
KCSE certificate and the necessary licenses
3 years and above of driving experience
Excellent communication and interpersonal Skills
Ability to perform well in a team as well as individually.",Qualifications and Experience,Excellent communication and interpersonal Skills,,Unclear,Qualifications and Experience,Other
Car Repair Technician at Career Options Africa Group,Career Options Africa Ltd,"Our client, a reputable automotive service provider, is seeking experienced and motivated Car Repair Technicians to join their team.
THE JOB
As a Car Repair Technician, you will be responsible for diagnosing, repairing, and maintaining vehicles in a professional body shop or dealership setting. The ideal candidate is technically skilled, detail-oriented, and eager to grow professionally in a new environment.
Key Responsibilities
Diagnose and repair mechanical and electrical issues in vehicles.
Perform routine maintenance and inspections.
Collaborate with other technicians and service advisors to ensure high-quality service.
Maintain a clean and safe working environment.
Follow manufacturer guidelines and safety protocols.
  Requirements
At least 2 years of professional experience in car repair, preferably in body shops or dealerships.
Male candidates aged between 24 and 38 years.
Clear criminal record, and no outstanding legal trials.
Benefits
We are offering a competitive gross salary
5-day work week, 8 hours per day, with potential for paid overtime.
Initial 1-year contract with the possibility of indefinite renewal",,,,Unclear,"Our client, a reputable automotive service provider, is seeking experienced and motivated Car Repair Technicians to join their team.",Information Technology
Car Painter at Career Options Africa Group,Career Options Africa Ltd,"Our client, a reputable automotive service provider, is seeking skilled and dependable Car Painters to join their team.
THE JOB
As a Car Painter, you will be responsible for preparing and painting vehicles to restore or enhance their appearance. The ideal candidate should have a keen eye for detail, technical expertise, and a commitment to delivering high-quality finishes.
Key Responsibilities
Prepare vehicle surfaces for painting by sanding, masking, and priming.
Mix and apply paint using spray guns and other equipment.
Match colors and ensure smooth, even finishes.
Inspect painted surfaces for quality and correct any imperfections.
Maintain painting tools and equipment in good working condition.
Requirements
At least 2 years of professional experience as a car painter in body shops or dealerships.
Male candidates aged between 24 and 38 years.
Clear criminal record, and no outstanding legal trials.
Benefits
We are offering a competitive gross salary.
5-day work week, 8 hours per day, with potential for paid overtime.
Initial 1-year contract with the possibility of indefinite renewal",,,,Unclear,At least 2 years of professional experience as a car painter in body shops or dealerships.,Information Technology
Assistant Electrical Technician at Career Options Africa Group,Career Options Africa Ltd,"Our client is seeking motivated Assistant Electricians to support their electrical operations. This opportunity offers a chance to work abroad, gain valuable experience, and enjoy a stable income with free accommodation.
THE JOB
As an Assistant Electrician, you will work under the supervision of qualified electricians to assist in installations, maintenance, and repairs. This role is ideal for individuals with basic electrical skills who are eager to grow professionally in a supportive environment.
Key Responsibilities
Assist electricians with installation and maintenance tasks.
Perform basic electrical duties under supervision.
Follow safety protocols and instructions diligently.
Maintain tools and ensure a clean, safe work area.
Requirements
Minimum of 2 yearsâ€™ experience as an electrician or assistant.
Electrical training certificate.
Clear criminal record.
Male candidates aged between 24 and 45 years.
Physically fit and able to perform manual tasks.
Benefits
We are offering a competitive gross salary.
One-year contract with the possibility of renewal.
Long-term employment opportunities.",,"As an Assistant Electrician, you will work under the supervision of qualified electricians to assist in installations, maintenance, and repairs. This role is ideal for individuals with basic electrical skills who are eager to grow professionally in a supportive environment.",,Unclear,"Our client is seeking motivated Assistant Electricians to support their electrical operations. This opportunity offers a chance to work abroad, gain valuable experience, and enjoy a stable income with free accommodation.",Engineering
