Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Group Sales Executive at Valentori Investments Group Ltd,Group Sales Executive at Valentori Investments Group Ltd,"Role Purpose
The Group Sales Executive is responsible for generating revenue and driving conversions across all subsidiaries of Valentori Investment Group. The role will focus on lead handling, client engagement, relationship building, pipeline development, quotation follow-up, and closing deals while ensuring seamless communication between Sales, Operations, Finance, and Client Experience teams.
This candidate MUST be confident, disciplined, organized, and able to learn technical aspects of interior design, construction, materials, logistics, and property services.
Key Responsibilities
Lead & Pipeline Management
Receive qualified leads and respond promptly and professionally
Maintain accurate client records in CRM system
Follow up quotations systematically to drive conversion
Conduct structured sales calls, meetings, and site visits
Sales Strategy & Revenue Delivery
Meet monthly and quarterly revenue targets
Develop and execute lead nurturing plans
Prepare sales proposals aligned with subsidiary rates and service scope
Participate in digital campaign optimization and lead qualification
Cross-Functional Coordination
Work closely with Client Experience Lead to ensure smooth handover of leads
Align with Subsidiary Heads and Operations for accurate timelines and delivery capability
Coordinate with Finance on client deposits, invoicing, and payment plans
Customer Relationship Management
Build long-term client relationships to encourage repeat business
Identify upsell and cross-sell opportunities across subsidiaries
Manage client objections professionally and escalate issues appropriately
Reporting & Accountability
Submit daily/weekly sales activity reports
Maintain accurate revenue forecasts and pipeline values
Track conversion ratios and key performance indicators
Required Qualifications & Skills
Minimum 3 years in sales: real estate, construction, interiors, logistics, or similar service industry
Experience handling mid- to high-value clients
Strong negotiation and closing skills
Professional communication, written and verbal
CRM literacy (Zoho preferred)
Ability to multitask and operate under pressure
Self-driven, organized, and target-focused
Compensation
Base salary + commissions tied to revenue closed
Performance milestones and growth opportunities",Participate in digital campaign optimization and lead qualification,Required Qualifications & Skills,,Unclear,"The Group Sales Executive is responsible for generating revenue and driving conversions across all subsidiaries of Valentori Investment Group. The role will focus on lead handling, client engagement, relationship building, pipeline development, quotation follow-up, and closing deals while ensuring seamless communication between Sales, Operations, Finance, and Client Experience teams.",Finance & Accounting
Interior Design Project Manager at Valentori Investments Group Ltd,Interior Design Project Manager at Valentori Investments Group Ltd,"Role Purpose
The Interior Design Project Manager will oversee the full lifecycle of high-end residential and commercial interior projects, including site assessments, design coordination, quotations, material sourcing, vendor engagement, cost control, supervision, client communication, and project delivery.
This is a technical, execution-focused role requiring hands-on experience and deep understanding of material specifications, construction processes, and luxury interior standards.
Key Responsibilities
Pre-Project / Client Engagement
Attend site visits, collect measurements, and document conditions
Interpret architectural/ interior drawings and client briefs
Prepare costed quotations, BOQs, and material specifications
Present proposals and guide clients through options and timelines
Project Planning & Coordination
Prepare work plans, schedules, and procurement lists
Coordinate design refinement and approvals with Prime Render Studio
Liaise with procurement and logistics teams for timely supply of materials
Site Supervision & Execution
Lead project execution on site and supervise installers/subcontractors
Ensure workmanship meets luxury finish standards
Monitor timelines and cost control
Resolve technical and execution issues promptly
Material & Vendor Management
Source high-quality finishes, fixtures, and fittings
Conduct vendor evaluations and negotiate pricing/terms
Verify deliveries, quantities, and quality
Client Communication & Handover
Provide weekly progress updates and maintain transparent communication
Manage variations and approval of changes in scope
Ensure clean project handover and documentation of works completed
Reporting & Controls
Maintain project expense tracking and cost monitoring
Prepare weekly site and progress reports
Ensure compliance with Valentori internal systems, policies, and documentation standards
Required Qualifications & Skills
Degree/Diploma in Interior Design, Architecture, Construction Management, or related field
Minimum 5 years proven experience in interior execution project management
Strong understanding of materials, joinery, finishes, and technical detailing
Ability to supervise multiple projects concurrently
Strong quotation and BOQ preparation skills
Confident, articulate communicator capable of handling demanding clients
Demonstrated leadership and accountability under pressure
Preferred Skills
Experience working with high-end residential clients
Knowledge of costing, value engineering, and supply chains
Ability to represent the company on camera for project showcases
Proficiency with MS Excel, Google Sheets, and project scheduling tools
Compensation
Salary range: KES 40,000 – 70,000, dependent on competence and experience
Performance-based incentives may be included",Required Qualifications & Skills,Required Qualifications & Skills,,Unclear,"This is a technical, execution-focused role requiring hands-on experience and deep understanding of material specifications, construction processes, and luxury interior standards.",Business
L&D Tech Specialist (AI Enablement) at Digital Divide Data,Digital Divide Data,"Job Description
AI Curriculum Delivery & Learning Technology Integration
Deploy and manage AI curriculum for Team Leaders, HR, and support functions.
Oversee technical setup, versioning, and rollout of all AI learning modules.
Integrate learning content across various workflows.
Diagnose, troubleshoot, and optimize learning technology issues.
AI Adoption Coaching for Leaders & Operations
Train and coach Ops leaders on AI usage across various departments for daily operations.
Provide hands-on support to drive AI-enabled decision-making and performance.
Convert operational use-cases into learning workflows that reinforce new behaviors.
Systems Workflow & Data Integrity
Configure and maintain various system connections
Own learning analytics dashboards, adoption metrics, and data quality.
Collaborate with HRIS and IT to ensure compliance, security, and data integrity.
Stakeholder & Program Management
Align tech-driven learning initiatives with business priorities.
Advise L&D Lead on emerging automation tools.
Localize global solutions to fit Africa's operational context.
Qualifications
Required
Diploma/Bachelor’s in IT, Computer Science, Learning Technologies, or Business with strong tech aptitude.
Hands-on experience with LMS, HRIS, automation systems, or digital learning tools.
Ability to coach non-technical users with patience and clarity.
Strong analytical, troubleshooting, and systems-thinking capability.
Preferred
Familiarity with generative AI tools, prompt engineering, or automation workflow",Qualifications,,,Unclear,"Hands-on experience with LMS, HRIS, automation systems, or digital learning tools.",Information Technology
Junior Service Monitoring & Operations Support Agent at HCS Affiliates Group,HCS Affiliates Group,"The Junior Service Monitoring & Operations Support Agent  will be responsible for performing basic, real-time operational control tasks to ensure service continuity and fast incident detection.
Main responsibilities include:
Monitoring service status in real time using Power BI dashboards.
Identifying incidents, anomalies or service degradation.
Sending predefined notification emails to external providers and internal teams based on established procedures.
Following up on incidents and updating internal tracking tools.
Performing basic operational support tasks during low-activity periods, such as:
Completing missing information for leads in internal systems.
Basic online research to identify potential client companies.
Simple data entry and validation tasks.
Escalating issues to the Operations or Support teams when required.
SKILLS:
You are aligned with our company values and enact them both in your personal and professional life
Effective English written and communication skills
Computer proficiency in MS Office, G-docs and call center equipment/software programs
Organized and logical, willing to adapt quickly to changing policies and procedures.
Must be able to work as part of a team in a fast-paced and pressured environment,
communicating effectively with both colleagues and clients and following verbal and written instructions.
Must be able to efficiently solve problems relating to dispatch of orders locally.
QUALIFICATIONS:
Degree/diploma level in a Business or Social Sciences related field, or having equivalent work experience (6 + months).
Previous call center experience is required or at least 1year experience in a similar role.
Proficiency in English (Excellent verbal and written communication skills)
Computer Literacy: Knowledge and Confidence in MS office
At least 1-2 years’ experience of sales or marketing in a B2B environment
Sales and marketing best practice / knowledge of current tools (i.e. CRM tools)
Swahili or any other local language is an advantage
The position ideally seeks individuals residing along WAIYAKI WAY due to the nature of work.",,,,Unclear,"Degree/diploma level in a Business or Social Sciences related field, or having equivalent work experience (6 + months).",Information Technology
Human Resources Officer at HCS Affiliates Group,HCS Affiliates Group,"Our client seeks to recruit a Human Resources Officer
Overall Purpose of the Job:
Assist in overseeing implementation of Human Resource strategies, policies and programs/work plans. Updating records of staff training and development programs.
Duties & Responsibilities:
He/ she assists the Head of Human Resources in managing the day-to-day operations of the Human Resource Department. The  Human Resources Officer implements the administration of the human resources policies, procedures, and programs within the assigned business lines.
Maintain and generate accurate HR records and reports to guide decision making and future planning and/or improvements.
Oversees and ensures all employee records are always updated, and personnel files are securely maintained both physical and electronic
Oversees the monitoring and updating of staff leave records accordingly both physical and electronic -on a daily, by weekly and monthly basis.
Ensure staff contracts are up to date.
Coordinate timely submission of payroll changes and sharing promptly with the payroll Officer after approval of Human Resources Manager.
 Coordinate the onboarding process and ensure all new hires have a good understanding of and subscribe to company’s vision, mission and values by understanding it’s approaches, policies, procedures, strategies and operations to perform their job.
Coordinate and provide relevant statistical information and data on recruitment activities and other applicable recruitment metrics
Coordinate performance appraisal or performance review and updating performance development or improvement plan to handle the performance gap if an employee does not meet the required performance level.
Maintain a keen understanding of training trends, developments and best practices.
Assists with the implementation of the Learning & Development initiatives- Closely liaises with line managers to identify, gather, and consolidate Training Needs Analysis after the Annual performance reviews.
    Qualifications
A Degree in Human Resource Management or Social science from a recognized & reputable institution of higher
Certification in Human Resource Management i.e. CHRP will be a plus.
Minimum 2-3 years’ experience in similar role 
Strong organizational and time management skills.
Excellent verbal and written communication skills.
Ability to maintain confidentiality and handle sensitive information.
Attention to detail and high level of accuracy.
Ability to work independently and collaboratively in a team environment.
Strong problem-solving skills and ability to adapt to changing priorities and deadlines.",Qualifications,Strong organizational and time management skills.,,Unclear,Minimum 2-3 years’ experience in similar role,Human Resources
Group Head of Human Resources (Hotel Industry) Readvertisement at HCS Affiliates Group,HCS Affiliates Group,"We are seeking an experienced and strategic HR Leader for a prestigious 5-star hospitality group with diversified business interests. The successful candidate will primarily oversee the Group Human Resources Hotel function (which constitutes 90% of the role & responsibilities), ensuring alignment of people strategy with business objectives across the hospitality entity and supporting HR functions for sister companies (approx. 10% scope).
NB: Only candidates with Minimum 5+ years of senior HR management experience in the hotel industry at the senior level will be considered.
NB: Candidates whose primary HR experience is in other industries, such as manufacturing, Public sector and NGO’S are not a good fit and will not be considered.
Key Responsibilities
1. Financial & Business Strategy
Lead group-wide compensation and benefits strategy with a focus on competitiveness and cost efficiency
Drive workforce planning, productivity optimization, and labor cost management
Oversee HR budgeting and demonstrate ROI across recruitment, learning, and talent initiatives
Strengthen performance-linked reward systems aligned to business and financial outcomes
2. People & Culture Leadership
Position the group as an employer of choice in the hotel industry
Ensure compliance with Kenyan labor laws and maintain strong industrial relations
Champion employee engagement, retention programs, and communication channels
Develop and maintain a strong talent pipeline aligned to business needs and service standards
Foster a culture grounded in trust, confidentiality, and ethical business practices
3. HR Systems, Governance & Compliance
Develop and strengthen HR policies, SOPs, and governance frameworks
Lead the Balanced Scorecard performance management implementation
Deploy HR technology systems for data-driven talent decisions
Champion organizational development, culture-building and change initiatives
Lead Health, Safety and Wellness compliance and programs across the group
4. Learning, Growth & Leadership Development
Develop and manage leadership development and succession programs
Oversee structured learning platforms, mentorship programs and skill-building initiatives
Promote collaboration, innovation, and continuous improvement
Build HR team capability as strategic business partners
5. Group Support
Provide HR support to sister companies (≈10% workload) to ensure consistency in HR standards and alignment with group values
Key Competencies
Comprehensive knowledge of Kenyan labour law and global HR standards
Strong business acumen and decision-making capabilities
Excellent stakeholder management and board advisory experience
Exceptional leadership, negotiation, and communication skills
Results-driven, ethical and self-motivated professional
Qualifications
Bachelor’s degree with HR specialization
CHRP-K & valid IHRM membership (MANDATORY
Minimum 5 years’ senior HR leadership experience in a hotel environment (MANDATORY)
Proven track record in HR transformation and managing industrial relations
Experience in 5-star+ hotels with 150+ staff",Qualifications,"Exceptional leadership, negotiation, and communication skills",,Unclear,"We are seeking an experienced and strategic HR Leader for a prestigious 5-star hospitality group with diversified business interests. The successful candidate will primarily oversee the Group Human Resources Hotel function (which constitutes 90% of the role & responsibilities), ensuring alignment of people strategy with business objectives across the hospitality entity and supporting HR functions for sister companies (approx. 10% scope).",Human Resources
Fresh Opportunities at The Nairobi Women's Hospital,The Nairobi Women's Hospital,"Job Description: 
We are seeking a dedicated and detail-oriented PA, Finance & Operations Administartor to work directly with our Group Finance and Strategy Officer providing executive support to the role. This role is ideal for a proactive professional with a strong background in finance, advanced analytical capabilities and the ability to provide efficient administrative support. The position demands a high level of attention to detail, high-trust, high-discretion and requires impeccable organizational skills, anticipatory services and the ability to work with complex data under tight deadlines
Qualifications: 
Bachelor’s degree . Professional qualification in Finance, Accounting, Economics, or a related field will be a clear advantage.
Proficiency in data analytics will be an advantage .
Proficiency in office productivity tools.
Proven maturity, discretion, and sound judgment, with absolute integrity in managing confidential information will be needed.
The successful candidate must have a minimum of 2 years experience in similar role
go to method of application »",,"We are seeking a dedicated and detail-oriented PA, Finance & Operations Administartor to work directly with our Group Finance and Strategy Officer providing executive support to the role. This role is ideal for a proactive professional with a strong background in finance, advanced analytical capabilities and the ability to provide efficient administrative support. The position demands a high level of attention to detail, high-trust, high-discretion and requires impeccable organizational skills, anticipatory services and the ability to work with complex data under tight deadlines",,Unclear,The successful candidate must have a minimum of 2 years experience in similar role,Information Technology
Technical Manager at Vert Limited,Vert,"Role Overview 
The Technical Manager will be responsible for leading all technical, food safety, quality, compliance, certification, and training functions across the company. The role ensures that products meet organic processing standards, international food safety certifications (BRCGS, FSSC 22000), Kosher, Halal, and ethical compliance programs (SMETA). The Technical Manager will act as the technical authority ensuring safe, legal, high-quality products for local and international markets.
This position oversees:
Food Safety Management Systems (FSMS) implementation
Internal audits
Staff training and competency
Compliance with regulatory and customer requirements
Certification and surveillance audits
Technical planning and operational inspections
Continual improvement of quality and compliance systems
Key Responsibilities
Food Safety & Quality Management
Lead implementation of FSSC 22000, BRCGS, and Organic Processing standards.
Review and approve all food safety plans, risk assessments, and process controls.
Ensure compliance with national and international legal requirements.
Lead internal audits and supervise external audit readiness.
Compliance & Certifications
Coordinate Organic, Kosher, Halal, SMETA, FSSC, and BRC certifications.
Ensure certification bodies receive complete and timely documentation.
Monitor non-conformances and drive CAPA closure.
Training & Capacity Building
Develop and implement technical training programs.
Oversee competency development for Quality Assurance, Production, and Compliance teams.
Maintain training records and technical performance evaluations.
Technical Operations Oversight
Lead quality investigations, root cause analysis, and corrective actions
Coordinate food safety testing (micro, chemical, environmental)
Plan inspections and site walkthroughs with clear reporting
Qualification & Experience
Education
Bachelor’s degree in Food Science, Food Technology, Microbiology, or related field
Postgraduate qualifications in Quality Management or Food Safety preferred
Certifications (Highly Advantageous)
HACCP Level 3 or 4
PCQI (Preventive Controls Qualified Individual)
Internal Auditor certifications
Experience
Minimum 6 years in food processing technical roles
Proven experience with Organic, BRCGS, FSSC, Kosher, Halal, or SMETA programs
Experience managing QA teams
Strong audit management background
Skills & Competencies
Strong leadership and coaching ability
Analytical and investigative skills
Excellent communication and report writing
Ability to manage multi-standard compliance
Hands-on approach with strong floor presence
High integrity and attention to detail",Qualification & Experience,Skills & Competencies,,Unclear,Qualification & Experience,Business
Current Openings at World Wide Fund for Nature (WWF) Kenya,World Wide Fund for Nature (WWF) Kenya,"Major Duties and Responsibilities
Be part of the Conservation Knowledge Unit as a ‘centre of expertise for conservation knowledge’ - connecting people to both find and share knowledge and experiences within and across Departments, Practices, and the broader Division.
As part of the WWF Knowledge Unit be the focal point for adult learning approaches for conservation practitioners
In collaboration with the other Conservation Knowledge Managers, help WWF practitioners learn for impact throughout their journey in the organisation, facilitating access to existing and new knowledge, and building institutional knowledge -working with Practice Teams, GCD Departments, Network Conservation Connectors, Focal Points, Global and Regional Expertise and partners.  
In collaboration with other divisions champion and support implementation of a Learning Management System to enhance learning and development.
Undertake specific responsibilities amongst the knowledge managers team according to their expertise, locations and capabilities. 
Organise frequent and structured interaction within the conservation community to ensure effective knowledge development, capture and transfer guided by the needs of WWF’s network strategies; sharing of lessons and learning for impact; identifying synergies and skill building towards innovative solutions.
Build and maintain relevant ’virtual communities of practice’ where people connect, share and learn knowledge – that drives a culture of continuous improvement – using online platforms, collaboration and communication tools.
Accompany a staff’s journey within the organisation with knowledge tools and processes (from when they join the organisation to when they leave). Develop onboarding tools for new staff and establish links and synergies to onboarding efforts across the organisation.
Develop and manage processes and tools to effectively capture and share lessons from the ‘field’ – working closely with Focal Points & other Practice members. Map existing knowledge content/expertise and identify gaps – and develop a KM strategy to maintain up to date knowledge content and fill gaps where necessary.
Support and enable selected WWF’s Communities of Practice as effective learning and innovation communities to raise conservation impact.
Lead the network in getting good at virtual engagement to continue to build a learning organisation.
Lead on internal newsletter production and organised and up to date information sources for the Practice, such as SharePoint, Viva Engage, and calendar.
Support the development of the annual GCD Knowledge Management survey with WWF's Communities of Practice.
Contributes to Special Projects and undertakes such duties as may be assigned by the Head Conservation & Knowledge, including duties linked to the Global Conservation Committee.
PROFILE
Required Qualifications.
Degree in Information science, adult learning or other relevant knowledge management discipline OR a degree in conservation, environmental management, international development, or a related field. 
Extensive relevant experience in knowledge management, preferably in a global conservation or international development context.   
Experience working in international networked organizations, collaborating across functions, teams, and offices
  go to method of application »",Required Qualifications.,,"Undertake specific responsibilities amongst the knowledge managers team according to their expertise, locations and capabilities.",Unclear,"Be part of the Conservation Knowledge Unit as a ‘centre of expertise for conservation knowledge’ - connecting people to both find and share knowledge and experiences within and across Departments, Practices, and the broader Division.",Other
Ongoing Recruitment at Public Service Commission Kenya (PSCK),Public Service Commission Kenya (PSCK),"For appointment to this grade, a candidate must have a Bachelors degree in any of the following disciplines: Development Studies, Public Administration, Business Administration, Economics, Statistics, Sociology, Education, Entrepreneurship, Political Science or its equivalent qualification from a university recognized in Kenya.
Duties and Responsibilities
Duties and responsibilities include:-
 implementing policies, strategies, guidelines and other relevant frameworks pertaining to devolution;
collecting and compiling data on emerging issues on programmes, policies, laws, regulations and guidelines on devolution;
updating the status of devolution programs and projects;
compiling data on intergovernmental disputes; and
collecting and collating data on intergovernmental relations research
go to method of application »","Development Studies, Public Administration, Business Administration, Economics, Statistics, Sociology, Education, Entrepreneurship, Political Science or its equivalent qualification from a university recognized in Kenya.",,,Unclear,,Social Sciences & Community
