Job Title,Company,Minimum Qualification,Skills Required,Location,Years of Experience,Date Posted,Department,Summary
Quantity Surveyor at Magnate Ventures,Magnate Ventures,Qualifications;,,,"Minimum of 5 years of post-graduate experience as a Quantity Surveyor in the construction industry, with a proven track record in cost estimation, budgeting, and contract management.",,Other, The Quantity Surveyor is responsible for performing key aspects of the projects in the production function within the organization . The role requires a proactive and strategic approach to overall project management .
Sales Manager at Magnate Ventures,Magnate Ventures,Job Qualifications,"Excellent leadership, negotiation, and customer relationship skills.",,"Minimum of 5 years’ experience in land sales, with at least 2 years in a supervisory or managerial role.",,Marketing, Job Description: Develop and execute effective land sales strategies to meet company targets . Identify and pursue new market opportunities for land acquisition and resale . Develop and implement promotional strategies for available land parcels .
"Environment, Health and Safety Officer at Magnate Ventures",Magnate Ventures,Job Specification and Qualification,,,"Minimum of 6 years experience in an Environmental, Health and Safety position in Production;",,Healthcare," The Environmental Health and Safety Officer will ensure compliance with government safety regulations and industry standards . The goal for the role is to protect the employees, customers and the environment from any life hazard ."
Homeroom Teacher at Trinitas International School,Trinitas International School,,,,Experience in teaching the Cambridge International Curriculum (KS2–KS3),,Education, Position: Homeroom Teachers with a Bachelor Degree in Education with a specialization in either Math/Geography and Biology/Chemistry . Start date: September 2025; Trinitas International School is rooted in Christian values .
"Program Officer – Research, Monitoring, Evaluation, and Proposal Writing at Selistar Management Services",Selistar Management Services,Qualifications,"The ideal candidate combines strong research and analytical skills, experience in program evaluation and grant writing, and a commitment to results-driven programming.",,"The ideal candidate combines strong research and analytical skills, experience in program evaluation and grant writing, and a commitment to results-driven programming.",,Administration," The Program Officer – Research, Monitoring, Evaluation, and Proposal Writing will lead the development and implementation of research initiatives . This role supports evidence-based program management and contributes to strategic learning, continuous improvement, and organizational growth across various thematic areas ."
Monitoring and Evaluation (M&E) Specialist at Selistar Management Services,Selistar Management Services,Qualifications,,,"Minimum of 7 years of experience in monitoring and evaluation, with at least 4 years in development projects focused on agriculture, agribusiness, or entrepreneurship.",,Other," The Monitoring and Evaluation (M&E) Specialist is responsible for designing, implementing, and managing M&E . The role ensures robust data collection, analysis, and reporting to track the performance across the project counties ."
Request for Proposals for Digital Training Tool at Landolakes Ventures 37,Landolakes Ventures 37,"Statement of Qualifications including evidence in support of its technical qualifications and ability to perform the services if its offer is accepted, such as references to successful prior projects of a similar nature.","Relevance of the firm or organization’s core capability/skills, experience and capacity to implement and manage the assignment (30%)","Following the training, producers should have increased knowledge of the topics covered such that they apply improved cattle nutrition knowledge and use climate-adapted forage varieties. The NPA Kenya team will link the digital platform provider to partner organizations to aid in user identification and will develop materials to help users overcome enrollment and utilization issues; however, it is ultimately the responsibility of the digital training platform provider to reach the targeted number of farmers. The NPA Kenya team will expect to receive monthly reports containing information on number of farmers trained, including geographic locations (county, sub county, and village), date trained, phone number, gender, age, number of cattle owned, number of acres farmed, and if the farmer is producing forage.","Venture37’s long-standing affiliation with Land O’Lakes, Inc. (www.landolakes.com) sets us apart. Land O’Lakes Inc. is one of America’s largest farmer-owned cooperatives. It supports Venture37 project implementation with 100 years of experience in dairy, animal nutrition, crop inputs, and agricultural insights and technologies. This gives our development projects a unique global view of agriculture, food, and the power of well-functioning market systems. Land O’Lakes, Inc. supports these efforts as part of its enterprise purpose of Feeding Human Progress at home and around the world.",,IT, Land O’Lakes Venture37 is soliciting proposals from qualified providers of digital training services for dairy and forage farmers . The Bidder shall bear all costs associated with the preparation and submission of the Proposal .
National Project Manager (NPM) - Agribusiness at Selistar Management Services,Selistar Management Services,Qualifications,"Supervise the rollout of mentorship programs covering agripreneurship, digital literacy, and business skills.",,,,Other," The National Project Manager (NPM) is responsible for the strategic planning, coordination, and management of an Agribusiness Project implementation ."
Human Resources and Administration Manager at HCS Affiliates Group,HCS Affiliates Group,Qualifications and Experience,"Excellent interpersonal, communication, and conflict-resolution skills.",,Qualifications and Experience,,Administration, The Human Resources and Administrative Manager will lead and coordinate all HR and administrative functions to ensure operational excellence and alignment with our clients  values and growth objectives . The role is responsible for developing and implementing HR strategies and initiatives .
Content Agent at HCS Affiliates Group,HCS Affiliates Group,,Should have good MS Excel skills,,At least 1 years of related experience,,Other," Our client, an on-demand Courier Service that delivers products ordered through their mobile app seeks to recruit a Content Agent . He/she will be responsible for assisting current and new clients in activations and upgrades ."
Implementation Officer at Career Options Africa Group,Career Options Africa Ltd,QUALIFICATIONS,The ideal candidate should possess the following skills and competencies.,"data collection, contract setup, monitoring, input allocation, and reporting",Benchmark the client’s implementation experience against alternative tools or legacy systems,,Administration," Our client, an AgTech platform transforming out grower management in Africa, is actively seeking a dedicated Implementation Officer to join their exceptional team . Your mission is to ensure a seamless setup, rollout, and sustained adoption of the client's platform ."
